Date,Price,Open,High,Low,Vol.,Change %
2008/7/8,241.83,236.99,256.14,214.61,1.20B,1.98%
2008/6/8,237.14,269.75,274.48,234.9,812.82M,-12.09%
2008/5/8,269.75,268.54,279.17,262.35,704.32M,0.47%
2008/4/8,268.49,253.56,277.62,253.56,817.24M,5.91%
2008/3/8,253.51,244.59,265.78,228.42,1.46B,3.66%
2008/2/8,244.57,255.61,265.5,240.17,1.04B,-4.31%
2008/1/8,255.58,257.43,259.63,222.8,1.36B,-0.73%
2007/12/7,257.45,273,288.34,248.68,858.81M,-5.65%
2007/11/7,272.88,300.44,300.44,251.32,1.12B,-9.18%
2007/10/7,300.46,299.35,316.96,284.25,906.50M,0.37%
2007/9/7,299.35,288.39,304.62,274.93,801.76M,3.81%
2007/8/7,288.36,276.5,294.3,260.24,1.54B,4.28%
2007/7/7,276.52,302.59,316.97,273.74,1.18B,-8.61%
2007/6/7,302.56,334.05,337.29,295.95,1.20B,-9.42%
2007/5/7,334.04,334.3,337.61,310.41,1.13B,-0.07%
2007/4/7,334.29,334.13,344.11,330.29,796.55M,0.04%
2007/3/7,334.14,344.25,345.34,321.96,1.44B,-2.94%
2007/2/7,344.26,355.82,371.02,338.44,1.20B,-3.25%
2007/1/7,355.82,328.84,356.94,321.68,905.47M,8.24%
2006/12/6,328.72,335.03,339.15,321.98,746.11M,-1.89%
2006/11/6,335.04,321.58,335.91,306.23,980.83M,4.19%
2006/10/6,321.58,302.72,322.3,300.23,843.68M,6.23%
2006/9/6,302.73,297.56,307.05,293.02,773.19M,1.73%
2006/8/6,297.57,289.99,298.41,282.06,962.12M,2.61%
2006/7/6,290.01,282.37,291.77,279.4,720.82M,2.70%
2006/6/6,282.38,270.3,283.84,268.61,943.55M,4.47%
2006/5/6,270.3,280.06,284.29,261.54,892.84M,-3.49%
2006/4/6,280.07,289.17,289.7,269.84,858.74M,-3.15%
2006/3/6,289.17,275.16,293.72,273.4,973.90M,5.10%
2006/2/6,275.15,270.73,278.38,263.31,752.75M,1.63%
2006/1/6,270.73,253.37,271.79,251.88,779.07M,6.85%
2005/12/5,253.37,255.79,259.96,252.64,707.90M,-0.95%
2005/11/5,255.79,245.81,259.67,238.24,798.77M,4.06%
2005/10/5,245.81,252.88,254.1,230.2,846.04M,-2.80%
2005/9/5,252.88,254.67,261.22,244.11,761.48M,-0.70%
2005/8/5,254.67,267.03,269.15,244.25,834.85M,-4.63%
2005/7/5,267.03,250.91,268.07,250.48,596.42M,6.42%
2005/6/5,250.92,241,254.9,241,684.52M,4.10%
2005/5/5,241.03,233.5,245.37,230.9,647.87M,3.22%
2005/4/5,233.52,222.49,233.52,219.29,653.10M,4.96%
2005/3/5,222.49,228.33,238.19,218.76,663.11M,-2.55%
2005/2/5,228.32,223.38,235.81,222.87,626.88M,2.21%
2005/1/5,223.38,243.37,244.44,220.9,651.76M,-8.21%
2004/12/4,243.37,232.92,245,232.84,604.07M,4.49%
2004/11/4,232.92,223.79,237.07,223.42,625.59M,4.08%
2004/10/4,223.79,214.13,225.47,213.74,552.51M,4.51%
2004/9/4,214.14,215.48,219.75,210.69,571.76M,-0.62%
2004/8/4,215.48,199.89,215.49,198.6,546.50M,7.82%
2004/7/4,199.86,200.12,207.4,194.83,497.79M,-0.13%
2004/6/4,200.12,195.72,203.04,190.47,583.00M,2.25%
2004/5/4,195.72,183.53,195.87,172.25,666.50M,6.64%
2004/4/4,183.53,217.25,219.3,182.59,886.95M,-15.53%
2004/3/4,217.26,207.39,217.26,207.39,546.79M,4.76%
2004/2/4,207.38,203.87,209.23,201.79,444.61M,1.72%
2004/1/4,203.87,195.94,204.45,194.48,466.97M,4.04%
2003/12/3,195.95,190.56,198.38,190.54,375.78M,2.84%
2003/11/3,190.54,183.43,190.9,183.43,346.12M,3.88%
2003/10/3,183.42,180.4,188.12,179.64,453.36M,1.67%
2003/9/3,180.4,176.02,180.86,176.02,406.73M,2.49%
2003/8/3,176.02,175.87,176.29,171.19,335.15M,0.09%
2003/7/3,175.87,167.49,176.57,166.38,431.10M,5.00%
2003/6/3,167.49,165.07,172.51,163.77,423.68M,1.47%
2003/5/3,165.07,156.57,167.8,155.22,429.94M,5.43%
