Date,Open,High,Low,Close,Adj Close,Volume
2004-12-01,"1,173.78","1,217.33","1,173.78","1,211.92","1,211.92","31,102,500,000"
2004-11-01,"1,130.20","1,188.46","1,127.60","1,173.82","1,173.82","30,460,280,000"
2004-09-30,"1,114.58","1,142.05","1,090.29","1,130.20","1,130.20","31,511,000,000"
2004-08-31,"1,104.24","1,131.54","1,099.18","1,114.58","1,114.58","26,829,870,000"
2004-07-31,"1,101.72","1,109.68","1,060.72","1,104.24","1,104.24","26,586,800,000"
2004-06-30,"1,140.84","1,140.84","1,078.78","1,101.72","1,101.72","29,285,600,000"
2004-05-31,"1,120.68","1,146.34","1,113.32","1,140.84","1,140.84","27,529,500,000"
2004-04-30,"1,107.30","1,127.74","1,076.32","1,120.68","1,120.68","29,326,400,000"
2004-04-01,"1,126.21","1,150.57","1,107.23","1,107.30","1,107.30","31,611,900,000"
2004-03-01,"1,144.94","1,163.23","1,087.16","1,126.21","1,126.21","33,597,900,000"
2004-02-01,"1,131.13","1,158.98","1,124.44","1,144.94","1,144.94","27,985,600,000"
2004-01-01,"1,111.92","1,155.38","1,105.08","1,131.13","1,131.13","32,820,000,000"
2003-12-01,"1,058.20","1,112.56","1,053.41","1,111.92","1,111.92","27,839,130,000"
2003-11-01,"1,050.71","1,063.65","1,031.20","1,058.20","1,058.20","24,463,220,000"
2003-09-30,995.97,"1,053.79",995.97,"1,050.71","1,050.71","32,298,500,000"
2003-08-31,"1,008.01","1,040.29",990.36,995.97,995.97,"29,940,110,000"
2003-07-31,990.31,"1,011.01",960.84,"1,008.01","1,008.01","24,881,470,000"
2003-06-30,974.5,"1,015.41",962.1,990.31,990.31,"31,553,200,000"
2003-05-31,963.59,"1,015.33",963.59,974.5,974.5,"31,219,400,000"
2003-04-30,916.92,965.38,902.83,963.59,963.59,"30,952,100,000"
2003-04-01,848.18,924.24,847.85,916.92,916.92,"29,669,610,000"
2003-03-01,841.15,895.9,788.9,848.18,848.18,"30,080,030,000"
2003-02-01,855.7,864.64,806.29,841.15,841.15,"25,235,300,000"
2003-01-01,879.82,935.05,840.34,855.7,855.7,"30,749,580,000"
2002-12-01,936.31,954.28,869.45,879.82,879.82,"25,993,640,000"
2002-11-01,885.76,941.82,872.05,936.31,936.31,"29,200,960,000"
2002-09-30,815.28,907.44,768.63,885.76,885.76,"37,856,310,000"
2002-08-31,916.07,924.02,800.2,815.28,815.28,"27,723,710,000"
2002-07-31,911.62,965,833.44,916.07,916.07,"29,298,400,000"
2002-06-30,989.82,994.46,775.68,911.62,911.62,"42,228,720,000"
2002-05-31,"1,067.14","1,070.74",952.92,989.82,989.82,"29,981,510,000"
2002-04-30,"1,076.92","1,106.59","1,048.96","1,067.14","1,067.14","26,905,500,000"
2002-04-01,"1,147.39","1,147.84","1,063.46","1,076.92","1,076.92","28,568,900,000"
2002-03-01,"1,106.73","1,173.94","1,106.73","1,147.39","1,147.39","26,563,200,000"
2002-02-01,"1,130.20","1,130.20","1,074.36","1,106.73","1,106.73","26,047,600,000"
2002-01-01,"1,148.08","1,176.97","1,081.66","1,130.20","1,130.20","29,746,200,000"
2001-12-01,"1,139.45","1,173.62","1,114.53","1,148.08","1,148.08","25,128,570,000"
2001-11-01,"1,059.78","1,163.38","1,054.31","1,139.45","1,139.45","26,330,000,000"
2001-09-30,"1,040.94","1,110.61","1,026.76","1,059.78","1,059.78","29,951,280,000"
2001-08-31,"1,133.58","1,155.40",944.75,"1,040.94","1,040.94","25,025,290,000"
2001-07-31,"1,211.23","1,226.27","1,124.87","1,133.58","1,133.58","23,359,200,000"
2001-06-30,"1,224.42","1,239.78","1,165.54","1,211.23","1,211.23","23,793,710,000"
2001-05-31,"1,255.82","1,286.62","1,203.03","1,224.38","1,224.38","24,748,030,000"
2001-04-30,"1,249.46","1,315.93","1,232.00","1,255.82","1,255.82","24,525,900,000"
2001-04-01,"1,160.33","1,269.30","1,091.99","1,249.46","1,249.46","25,409,990,000"
2001-03-01,"1,239.94","1,267.42","1,081.19","1,160.33","1,160.33","27,806,610,000"
2001-02-01,"1,366.01","1,376.38","1,215.44","1,239.94","1,239.94","21,644,400,000"
2001-01-01,"1,320.28","1,383.37","1,274.62","1,366.01","1,366.01","27,829,800,000"
2000-12-01,"1,314.95","1,389.05","1,254.07","1,320.28","1,320.28","23,610,800,000"
2000-11-01,"1,429.40","1,438.46","1,294.90","1,314.95","1,314.95","20,532,300,000"
2000-09-30,"1,436.52","1,454.82","1,305.79","1,429.40","1,429.40","25,951,400,000"
2000-08-31,"1,517.68","1,530.09","1,419.44","1,436.51","1,436.51","20,838,300,000"
2000-07-31,"1,430.83","1,525.21","1,425.43","1,517.68","1,517.68","20,363,700,000"
2000-06-30,"1,454.60","1,517.32","1,413.89","1,430.83","1,430.83","19,089,100,000"
2000-05-31,"1,420.60","1,488.93","1,420.60","1,454.60","1,454.60","21,738,300,000"
2000-04-30,"1,452.43","1,481.51","1,361.09","1,420.60","1,420.60","19,898,300,000"
2000-04-01,"1,498.58","1,527.19","1,339.40","1,452.43","1,452.43","20,106,460,000"
2000-03-01,"1,366.42","1,552.87","1,346.62","1,498.58","1,498.58","26,156,200,000"
2000-02-01,"1,394.46","1,444.55","1,325.07","1,366.42","1,366.42","20,912,000,000"
2000-01-01,"1,469.25","1,478.00","1,350.14","1,394.46","1,394.46","21,494,400,000"
